"name","gp","g","a","hits","blocks","ppp","shg","sog","fow"
"Andy Andreoff","44"," 3.148"," 3.69"," 65.2"," 11.53","-0.6107"," 9.1e-02"," 33.3"," 93.7"
"Christian Folin","35"," 0.330"," 5.36"," 53.6"," 42.15"," 0.6745","-4.1e-02"," 13.0","  0.0"
"Eric Boulton","36"," 2.312"," 1.64"," 75.0"," 14.71","-0.2337"," 3.0e-02"," 24.5","  0.0"
"Noel Acciari","34"," 1.978"," 1.66"," 84.1","  8.06","-0.5604"," 8.0e-02"," 27.2","103.7"
"Seth Helgeson","34","-0.144"," 1.90"," 75.8"," 40.82","-0.5401","-2.2e-02"," 14.6","  0.0"
"Mike Zalewski","27"," 1.930"," 3.72"," 50.6","  8.03"," 0.5088"," 7.4e-02"," 15.6"," 52.7"
"Ross Johnston","21"," 0.895"," 0.76","107.9","  7.51","-0.1001"," 2.9e-02"," 12.0","  0.0"
"Ryan Pulock","36"," 1.922"," 4.92"," 34.1"," 29.87"," 0.5247","-1.4e-02"," 34.8","  0.0"
"Shane Prince","43"," 4.230"," 7.71"," 31.0"," 12.78"," 1.3468"," 1.1e-01"," 52.2","  7.3"
"Gregg McKegg","33"," 2.122"," 4.69"," 48.8"," 15.74"," 0.6949"," 9.4e-02"," 22.4","106.7"
"Tom Sestito","32"," 1.533"," 2.44"," 92.3"," 10.91","-0.2085","-1.2e-02","  9.8","  0.0"
"Philip Samuelsson","24"," 0.690"," 3.29"," 24.7"," 55.37"," 0.4588"," 3.8e-02"," 18.2","  0.0"
"Jarred Tinordi","26"," 0.710"," 3.13"," 55.8"," 30.84"," 0.5458"," 6.1e-03"," 18.8","  0.0"
"Derek Ryan","33"," 4.576"," 6.64","  5.8","  9.59"," 2.9728"," 4.2e-02"," 26.5","182.4"
"Andrew Agozzino","27"," 2.128"," 5.37"," 25.1"," 10.78"," 1.3554"," 1.5e-02"," 11.1"," 62.2"
"Kevin Fiala","34"," 4.568"," 5.79"," 23.1"," 15.35"," 1.8894"," 7.9e-02"," 54.7","  0.0"
"Phil Varone","31"," 2.643"," 5.31"," 27.8"," 27.93"," 0.1502"," 8.9e-02"," 21.9"," 64.7"
"Michael Blunden","35"," 2.306"," 2.94"," 77.0"," 10.16","-0.1793"," 5.5e-02"," 23.1","  0.0"
"Brock McGinn","36"," 3.632"," 2.55"," 49.8"," 10.29","-0.3417"," 3.0e-02"," 39.6","  0.0"
"Andrey Pedan","26"," 0.525"," 2.52"," 73.2"," 19.66"," 0.3590","-2.3e-02"," 17.6","  0.0"
"Anthony Peluso","42"," 1.221"," 2.68"," 93.6"," 10.77","-0.8824","-1.9e-04"," 18.5","  0.0"
"Taylor Chorney","42","-0.580"," 4.02"," 48.0"," 46.08","-0.3738","-3.4e-02"," 20.5","  0.0"
"Jim O'Brien","26"," 1.942"," 3.00"," 43.4"," 11.63"," 0.2680"," 9.2e-02"," 18.6","178.3"
"Luke Gazdic","42"," 1.225"," 3.57"," 59.2"," 16.49","-0.1589"," 6.9e-05"," 19.0","  0.0"
"Jordan Nolan","45"," 2.579"," 3.13"," 76.0"," 12.47","-0.2512"," 2.0e-02"," 32.9","  0.0"
"Ben Harpur","28"," 0.542"," 3.42"," 46.5"," 36.63"," 0.2756","-6.3e-03"," 17.0","  0.0"
"Ty Rattie","34"," 4.829"," 5.31"," 29.0","  9.29"," 1.0879"," 9.1e-02"," 38.4","  0.0"
"Conor Sheary","45"," 5.389"," 4.19"," 24.1","  6.30","-0.1552"," 7.3e-02"," 50.7","  6.2"
"Christian Thomas","31"," 3.655"," 5.12"," 35.8","  8.33"," 1.4232"," 8.5e-02"," 38.8","  0.0"
"Ryan Dzingel","40"," 2.927"," 5.26"," 70.0","  8.06"," 0.1017"," 3.6e-02"," 32.0","  7.2"
"James Wisniewski","32"," 1.145"," 4.81"," 31.4"," 21.19"," 2.0030"," 9.9e-03"," 26.1","  0.0"
"Laurent Dauphin","31"," 2.341"," 3.89"," 24.4"," 22.48"," 0.1883"," 7.2e-02"," 24.4","118.4"
"Rocco Grimaldi","34"," 4.130"," 3.81"," 35.2","  6.89"," 0.2369"," 1.4e-01"," 49.9"," 72.7"
"Jordan Schroeder","38"," 2.904"," 4.26"," 34.4"," 20.59","-0.0169"," 6.8e-02"," 39.5"," 26.6"
"John Scott","38"," 1.811"," 1.28"," 72.7"," 12.92","-0.8510"," 5.3e-03"," 16.2","  0.0"
"Petter Granberg","31","-0.039"," 2.40"," 58.6"," 33.13","-0.1069","-6.9e-04"," 11.7","  0.0"
"Paul Postma","36"," 0.587"," 5.41"," 27.8"," 28.91"," 1.2841","-1.9e-02"," 24.6","  0.0"
"Nate Prosser","37"," 0.188"," 2.97"," 31.7"," 50.68","-0.2425","-7.8e-03"," 15.5","  0.0"
"Mike Angelidis","27"," 2.075"," 2.87"," 39.4","  7.63","-0.0494"," 3.2e-02","  7.5"," 64.6"
"Andrew Copp","39"," 2.047"," 3.98"," 42.5"," 11.74","-0.7937"," 5.1e-02"," 30.8","123.8"
"Esa Lindell","22"," 0.847"," 2.80"," 24.0"," 43.18"," 0.4160"," 1.9e-02"," 18.4","  0.0"
"Paul Carey","33"," 2.945"," 4.57"," 52.9"," 12.23"," 0.9536"," 3.3e-02"," 29.6","  0.0"
"Clarke MacArthur","34"," 3.278"," 3.85"," 34.0"," 10.90"," 0.7886","-8.4e-03"," 28.1","  0.0"
"Matt Puempel","35"," 3.027"," 2.59"," 31.4"," 13.23","-0.4857"," 6.4e-02"," 33.4","  5.1"
"Ben Street","21"," 1.771"," 1.96"," 22.5"," 11.19"," 0.0423"," 7.4e-02"," 17.5"," 78.7"
"Brady Skjei","23"," 0.734"," 2.68"," 36.2"," 33.55"," 0.3923"," 2.4e-03"," 17.8","  0.0"
"Taylor Beck","25"," 1.745"," 1.21"," 61.4"," 10.87"," 0.0151"," 2.4e-02"," 18.7","  0.0"
"Corban Knight","34"," 2.426"," 5.20"," 39.2","  9.06"," 0.4020"," 9.4e-02"," 22.3"," 95.7"
"Scott Harrington","31"," 0.212"," 2.21"," 48.1"," 34.44","-0.2098","-1.8e-02"," 15.9","  0.0"
"Tyson Strachan","27"," 0.716"," 2.51"," 47.5"," 18.50"," 0.5707"," 2.6e-02"," 20.3","  0.0"
"Tyler Gaudet","33"," 1.451"," 3.37"," 53.5"," 11.94","-0.4269"," 5.9e-02"," 16.2","104.8"
"Jeff Schultz","25"," 1.142"," 3.62"," 12.1"," 35.32"," 0.9375"," 4.9e-02"," 22.0","  0.0"
"Jujhar Khaira","30"," 2.040"," 1.82"," 54.5"," 10.55","-0.2619"," 1.7e-02"," 23.9","  0.0"
"Xavier Ouellet","30"," 0.873"," 3.67"," 36.3"," 23.98"," 0.4996","-1.2e-03"," 21.6","  0.0"
"Slater Koekkoek","31"," 1.300"," 3.44"," 26.9"," 22.69"," 0.6699"," 4.4e-03"," 29.3","  0.0"
"Corey Potter","27"," 1.445"," 4.36"," 16.6"," 21.31"," 1.4915"," 4.2e-02"," 23.8","  0.0"
"Cal O'Reilly","38"," 3.668"," 7.28"," 10.7","  9.41"," 1.7585"," 1.6e-02"," 27.0","108.6"
"Ronalds Kenins","24"," 2.109"," 2.11"," 55.3","  7.13"," 0.0525"," 3.2e-02"," 19.0","  5.3"
"Mikko Rantanen","25"," 2.746"," 3.01","  8.6"," 15.87"," 0.6552"," 9.3e-02"," 23.1"," 37.1"
"Yanni Gourde","22"," 2.665"," 5.34"," 24.5","  9.73"," 1.2154"," 2.7e-02"," 20.6","  0.0"
"Aaron Ness","29"," 1.253"," 4.48"," 17.9"," 26.52"," 0.8170","-6.7e-03"," 26.4","  0.0"
"Andrew Campbell","29","-0.121"," 2.87"," 31.2"," 44.96","-0.1777"," 6.1e-03","  9.1","  0.0"
"Petteri Lindbohm","24"," 0.826"," 2.45"," 35.4"," 27.46"," 0.2434","-2.8e-03"," 20.2","  0.0"
"Viktor Loov","26"," 0.527"," 6.01"," 47.9"," 12.65"," 1.2085","-5.6e-02","  8.2","  0.0"
"Barclay Goodrow","36"," 2.721"," 3.48"," 27.8"," 10.55","-0.1594"," 5.3e-02"," 21.7"," 13.3"
"Steven Santini","24"," 1.283"," 3.41","  8.4"," 34.26"," 0.9178"," 3.7e-02"," 21.6","  0.0"
"Garrett Wilson","23"," 1.604"," 1.85"," 60.9","  6.61"," 0.2035"," 2.7e-02"," 15.9","  0.0"
"Josh Morrissey","21"," 0.760"," 2.57"," 22.7"," 36.68"," 0.3806"," 1.2e-02"," 16.9","  0.0"
"Ryan Stanton","32"," 1.553"," 4.38"," 13.5"," 11.55"," 1.6818"," 8.3e-02"," 26.8","  0.0"
"Michael Sgarbossa","24"," 2.039"," 3.56"," 10.2"," 28.80"," 0.6380"," 9.4e-02"," 20.5"," 49.7"
"Dennis Everberg","29"," 2.308"," 2.55"," 29.2"," 20.13"," 0.0614"," 2.8e-02"," 23.5","  0.0"
"Sonny Milano","24"," 1.874"," 3.55"," 31.8"," 13.49"," 0.4098"," 1.1e-02"," 16.3","  0.0"
"Derek Forbort","35"," 0.949"," 3.48"," 27.2"," 22.71"," 0.0427","-2.6e-02"," 31.6","  0.0"
"Connor Brickley","36"," 1.126"," 3.54"," 70.3"," 10.99","-0.4393","-2.1e-02"," 20.6","  0.0"
"Hudson Fasching","31"," 3.497"," 3.49"," 37.6","  5.58"," 0.2457"," 2.8e-02"," 36.6","  0.0"
"Brandon Mashinter","42"," 2.294"," 1.52"," 64.4","  5.35","-1.3210","-2.6e-02"," 25.1","  0.0"
"Tommy Cross","24"," 1.418"," 4.74"," 26.8"," 12.67"," 1.0330","-1.3e-02"," 20.4","  0.0"
"Luke Witkowski","24"," 0.666"," 2.55"," 48.0"," 13.10"," 0.5120","-1.4e-02"," 16.6","  0.0"
"Stefan Matteau","35"," 1.177"," 1.54"," 73.9"," 10.69","-0.9392"," 6.1e-03"," 26.5","  0.0"
"Julian Melchiori","24"," 0.635"," 2.56"," 39.3"," 21.42"," 0.3712","-2.1e-02"," 17.1","  0.0"
"Tyler Randell","34"," 3.109"," 3.22"," 48.0","  9.95","-0.0771","-3.5e-02"," 20.3","  0.0"
"Chris Summers","23"," 0.837"," 2.82"," 36.5"," 15.34"," 0.6377"," 6.9e-03"," 17.7","  0.0"
"Micheal Haley","30"," 0.825"," 2.77"," 68.4"," 10.20","-0.1495"," 1.3e-02"," 13.9"," 22.3"
"Dustin Jeffrey","33"," 2.979"," 4.52"," 14.8","  6.07"," 0.0537"," 7.1e-02"," 25.0","157.1"
"Stuart Percy","20"," 0.629"," 2.85"," 28.0"," 21.37"," 0.9111","-2.3e-03"," 15.9","  0.0"
"Matt Irwin","27"," 1.078"," 3.06"," 16.9"," 18.11"," 0.9444"," 2.5e-02"," 24.3","  0.0"
"Bryan Lerg","16"," 1.778"," 0.80"," 31.1","  6.96","-0.3204"," 3.6e-02"," 16.6"," 41.5"
"John McFarland","19"," 1.403"," 1.50"," 31.7"," 15.29"," 0.0177"," 1.5e-02"," 14.2","  0.0"
"Jordan Caron","26"," 1.755"," 1.55"," 36.5"," 10.27","-0.0269"," 3.9e-02"," 18.8","  0.0"
"Chris Bigras","40","-0.017"," 3.43"," 28.4"," 27.84","-0.4110","-5.5e-02"," 26.1","  0.0"
"Vojtech Mozik","22"," 0.571"," 2.36"," 38.2"," 18.29"," 0.3406","-2.2e-02"," 15.7","  0.0"
"Dean Kukan","23"," 0.719"," 2.61"," 22.6"," 27.13"," 0.3818","-9.6e-03"," 17.0","  0.0"
"Andrew Bodnarchuk","38","-0.285"," 2.69"," 45.4"," 30.79","-0.5536","-7.7e-02"," 10.2","  0.0"
"Brandon Tanev","19"," 1.338"," 1.38"," 42.9"," 10.89","-0.0055"," 9.4e-03"," 13.8","  0.0"
"Scott Kosmachuk","28"," 2.780"," 4.76"," 25.9","  6.64"," 0.9625"," 2.3e-02"," 27.9","  0.0"
"Daniel Sprong","32"," 3.086"," 3.33"," 27.1","  5.83"," 0.3173"," 4.1e-02"," 34.3","  5.4"
"Harry Zolnierczyk","22"," 1.414"," 1.04"," 56.9","  9.48","-0.0870"," 3.1e-02"," 15.4","  0.0"
"Nic Petan","40"," 3.479"," 5.90"," 17.3","  7.27"," 0.6418"," 4.4e-02"," 41.4"," 21.9"
"Brad Hunt","21"," 0.689"," 2.47"," 24.7"," 23.07"," 0.4597","-3.6e-03"," 16.6","  0.0"
"Michael Kostka","30"," 0.364"," 2.16"," 17.9"," 37.07","-0.2985","-1.9e-02"," 17.7","  0.0"
"J.C. Lipon","26"," 1.013"," 0.82"," 76.5","  6.26","-0.6992","-1.3e-02"," 10.3","  0.0"
